slug,category,title,primary_query,intent
kak-bystro-sdelat-domashnee-zadanie,domashka,Как быстро сделать домашнее задание: система из 7 шагов,как быстро сделать домашнее задание,info
pochemu-ya-otkladyvayu-domashku,domashka,Почему я откладываю домашку и как перестать,почему я откладываю домашнее задание,info
tehnika-pomodoro-dlya-shkolnika,domashka,Техника помодоро для школьника: как настроить под уроки,помодоро для школьника,info
napominaniya-ob-uchebe-kotorye-rabotayut,domashka,Как ничего не забывать: напоминания об учёбе которые работают,напоминание о домашнем задании,info
kak-ne-zabyvat-domashnee-zadanie,domashka,Как не забывать домашнее задание: 9 приёмов и один инструмент,как не забывать домашнее задание,info
skolko-vremeni-delat-uroki,domashka,Сколько времени должна занимать домашка по классам и нормам,сколько времени делать уроки,info
kak-delat-uroki-esli-ne-hochetsya,domashka,Не хочу делать уроки: что делать когда нет сил и мотивации,не хочу делать уроки,info
s-kakogo-predmeta-nachinat-uroki,domashka,С какого предмета начинать делать уроки: правильный порядок,с какого предмета начинать уроки,info
kak-delat-uroki-bez-roditelej,domashka,Как делать уроки самостоятельно без напоминаний родителей,как делать уроки самостоятельно,info
domashka-za-chas-plan,domashka,Домашка за час: почасовой план вечера для 5–8 класса,как сделать уроки за час,info
domashka-v-starshih-klassah,domashka,Домашка в 9–11 классах: как совмещать с подготовкой к экзаменам,домашнее задание 10 класс сколько времени,info
kak-delat-domashku-po-matematike,domashka,Как делать домашку по математике если ничего не понял,как сделать домашнее задание по математике,info
kak-pisat-sochinenie-bystro,domashka,Как написать сочинение быстро: план на 40 минут,как быстро написать сочинение,info
kak-vyuchit-stih-bystro,domashka,Как быстро выучить стихотворение: 6 способов которые работают,как быстро выучить стих,info
kak-vyuchit-paragraf,domashka,Как выучить параграф по истории или биологии за 20 минут,как быстро выучить параграф,info
kak-delat-proekt-po-shkole,domashka,Школьный проект: как сделать за неделю а не за ночь,как сделать проект для школы,info
kak-sdelat-prezentaciyu-dlya-shkoly,domashka,Как сделать презентацию для школы: структура и оформление,как сделать презентацию для школы,info
domashka-v-vyhodnye,domashka,Домашка в выходные: как освободить воскресенье,когда делать уроки на понедельник,info
kak-organizovat-rabochee-mesto-shkolnika,domashka,Рабочее место школьника: что убрать и что добавить,рабочее место для школьника,info
chek-list-domashki,domashka,Чек-лист домашки: 12 пунктов перед тем как закрыть тетрадь,чек лист домашнего задания,info
domashka-i-telefon,domashka,Телефон и домашка: как не отвлекаться и не выключать его совсем,как не отвлекаться на телефон во время уроков,info
gdz-polza-ili-vred,domashka,ГДЗ: когда помогает а когда убивает оценки,гдз вред или польза,info
kak-proverit-domashku,domashka,Как проверять домашку самому: метод «второго прохода»,как проверить домашнее задание,info
domashka-pod-muzyku,domashka,Можно ли делать уроки под музыку: что говорят исследования,можно ли делать уроки под музыку,info
kak-planirovat-domashku-na-nedelyu,domashka,Как планировать домашку на неделю: шаблон и пример,план домашних заданий на неделю,info
mnogo-zadayut-chto-delat,domashka,Слишком много задают: что делать школьнику и родителям,много задают домашнего задания что делать,info
